BckCHR_00	Zapp intro (1)
BckCHR_01	Zapp intro (2)
BckCHR_02	Byte Off 4 (1)
BckCHR_03	Byte Off 4 (2)
BckCHR_04	End Screen (1)
BckCHR_05	End Screen (2)
BckCHR_06	(free)
BckCHR_07	(free)
BckCHR_08	(free)
BckCHR_09	(free)
BckCHR_10	(free)
BckCHR_11	(free)
BckCHR_12	(free)
BckCHR_13	(free)
BckCHR_14	(free)
BckCHR_15	(free)
BckCHR_16	(free)
BckCHR_17	(free)
BckSSChr00	Text 0-F
BckSSChr01	Text G-Z + punctuation
BckSSChr02	Byte Off 4 (3)
BckSSChr03	End screen (3)
BckSSChr04	End screen (4)
BckSSChr05	(free)
BckSSChr06	(free)
BckSSChr07	(free)
BckSSChr08	(free)
BckSSChr09	(free)
BckSSChr10	(free)
BckSSChr11	(free)
BckSSChr12	(free)
BckSSChr13	(free)
BckSSChr14	(free)
BckSSChr15	(free)
BckSSChr16	(free)
BckSSChr17	(free)
BckSSChr18	(free)
BckSSChr19	(free)
BckSSChr20	(free)
BckSSChr21	(free)
BckSSChr22	(free)
BckSSChr23	(free)
BckSSChr24	(free)
BckSSChr25	(free)
BckSSChr26	(free)
BckSSChr27	(free)
BckSSChr28	(free)
BckSSChr29	(free)
GameObjectTiles	Game object tiles
Hud		Hud tiles
Monster_0_00	End screen sprites, intro sequence sprites
Monster_0_01	(free)
Monster_0_02	(free)
Monster_0_03	(free)
Monster_0_04	(free)
Monster_0_05	(free)
Monster_0_06	(free)
Monster_0_07	(free)
Monster_1_00	(free)
Monster_1_01	(free)
Monster_1_02	(free)
Monster_1_03	(free)
Monster_1_04	(free)
Monster_1_05	(free)
Monster_1_06	(free)
Monster_1_07	(free)
